Variable,EMS_Code,Use,Media,Days,Samples,Notes,Phototoxic,Condition,MinimumLimit,MaximumLimit,Units,Statistic,WQG_Type,Reference,Reference Link,Overview Report Link,Technical Document Link
"1,2-dichlorobenzene",B022,Aquatic Life - Marine,Water,30,5,,,,,42,ug/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
"1,2-dichloroethane",C022,Aquatic Life - Freshwater,Water,30,5,,,,,100,ug/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
"1,2-dichloroethane",C022,Agriculture - Livestock,Water,30,5,,,,,5,ug/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
"1,2-propylene glycol",P020,Aquatic Life - Freshwater,Water,30,5,,,,,500,mg/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
"1,3-dichlorobenzene",B026,Aquatic Life - Freshwater,Water,30,5,,,,,150,ug/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
"1,4-Dichlorobenzene",B025,Aquatic Life - Marine,Sediment,30,5,Lower SWQG,,,,0.0311,ug/g,mean,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
"1,4-Dichlorobenzene",B025,Aquatic Life - Marine,Sediment,30,5,Upper SWQG,,,,0.091,ug/g,mean,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
"1,4-dichlorobenzene",B025,Aquatic Life - Freshwater,Water,30,5,,,,,26,ug/L,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
2-methylnaphthalene,PA28,Aquatic Life - Freshwater,Sediment,30,5,Interim Sediment Quality Guideline,,,,0.0202,ug/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
2-methylnaphthalene,PA28,Aquatic Life - Freshwater,Sediment,30,5,Probable Effect Level,,,,0.201,ug/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
2-methylnaphthalene,PA28,Aquatic Life - Marine,Sediment,30,5,Interim Sediment Quality Guideline,,,,0.02,ug/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
2-methylnaphthalene,PA28,Aquatic Life - Marine,Sediment,30,5,Probable Effect Level,,,,0.202,ug/g,mean,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
